DEVICE KERNEL DURATION [ns],NUM_TILES,INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY
902,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5620,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1769,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1824,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
881,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5631,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1779,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1806,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
869,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5626,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1777,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1812,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
879,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
21146,64,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5711,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3120,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5770,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1909,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1300,2,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3184,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1256,2,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
968,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
21147,64,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5643,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3110,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5705,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1866,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1263,2,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3111,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1208,2,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
936,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
21144,64,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5659,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3119,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5697,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1854,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1249,2,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3099,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1211,2,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
933,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
21146,64,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5635,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3114,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5681,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1867,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1252,2,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3102,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1216,2,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
917,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
21144,64,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5656,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3117,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5710,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1853,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1272,2,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
3113,8,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
